# t (datenum)	phase (rad)	stress_at_t	stress_rate_at_t	year	month	day	hour	min	sec	lat	lon	dep	mag
13217.66457176	1.90240888	-412.75362400	-11668.65840272	2006.00000000	3.00000000	10.00000000	15.00000000	56.00000000	59.00000000	37.51733300	137.29350000	8.23000000	0.20000000
13220.54432870	-0.54105207	1002.01664000	6461.35920150	2006.00000000	3.00000000	13.00000000	13.00000000	3.00000000	50.00000000	37.43783300	137.47616700	8.61000000	1.70000000
13223.67741898	-0.36651914	533.94760800	2583.72191947	2006.00000000	3.00000000	16.00000000	16.00000000	15.00000000	29.00000000	37.67150000	137.42450000	12.00000000	1.30000000
13225.12575231	-1.18682389	357.96445900	3394.99464079	2006.00000000	3.00000000	18.00000000	3.00000000	1.00000000	5.00000000	37.70150000	137.38383300	7.42000000	1.50000000
13225.70685185	-1.45734993	-223.42757900	4703.61024110	2006.00000000	3.00000000	18.00000000	16.00000000	57.00000000	52.00000000	37.28500000	137.18400000	14.55000000	1.00000000
13229.00827546	0.13089969	372.64272600	-771.60119984	2006.00000000	3.00000000	22.00000000	0.00000000	11.00000000	55.00000000	37.17850000	137.76083300	16.91000000	1.40000000
13230.15288194	2.03330858	-69.80263840	-4354.18586501	2006.00000000	3.00000000	23.00000000	3.00000000	40.00000000	9.00000000	37.30200000	137.22666700	5.06000000	0.50000000
13233.03078704	-0.30543262	534.81464700	2849.66976066	2006.00000000	3.00000000	26.00000000	0.00000000	44.00000000	20.00000000	37.01800000	136.89083300	12.85000000	3.90000000
13234.80372685	2.79252680	-668.23704100	-3417.81791930	2006.00000000	3.00000000	27.00000000	19.00000000	17.00000000	22.00000000	37.40050000	137.34033300	4.06000000	1.30000000
13245.76233796	-2.87979327	-1032.63098000	3070.15920071	2006.00000000	4.00000000	7.00000000	18.00000000	17.00000000	46.00000000	37.69550000	137.36466700	8.52000000	1.30000000
13248.07070602	0.42760567	741.51864100	-4505.32199908	2006.00000000	4.00000000	10.00000000	1.00000000	41.00000000	49.00000000	37.68050000	137.38766700	12.35000000	1.50000000
13248.45771991	-1.12573737	604.62102100	11840.00088276	2006.00000000	4.00000000	10.00000000	10.00000000	59.00000000	7.00000000	37.70266700	137.40483300	12.48000000	1.10000000
13258.31859954	-1.57079633	183.49896200	5897.51927880	2006.00000000	4.00000000	20.00000000	7.00000000	38.00000000	47.00000000	37.26050000	137.30900000	5.38000000	1.20000000
13261.49466435	-0.20071286	911.53532600	1971.62328046	2006.00000000	4.00000000	23.00000000	11.00000000	52.00000000	19.00000000	37.59033300	137.15100000	7.06000000	0.70000000
13265.61290509	0.11344640	692.35099900	-978.69575980	2006.00000000	4.00000000	27.00000000	14.00000000	42.00000000	35.00000000	37.67516700	137.37050000	14.14000000	1.10000000
13266.90901620	-2.46091425	-125.90825300	3538.85687928	2006.00000000	4.00000000	28.00000000	21.00000000	48.00000000	59.00000000	37.61950000	137.12966700	0.00000000	0.80000000
13268.33515046	2.24274809	-486.05515000	-5475.00120127	2006.00000000	4.00000000	30.00000000	8.00000000	2.00000000	37.00000000	37.50883300	137.83416700	19.51000000	1.60000000
13272.05380787	2.05076187	47.28793960	-2071.93977558	2006.00000000	5.00000000	4.00000000	1.00000000	17.00000000	29.00000000	37.13250000	137.44116700	16.30000000	3.90000000
13272.31055556	-0.65449847	472.84851000	2682.72192062	2006.00000000	5.00000000	4.00000000	7.00000000	27.00000000	12.00000000	37.61183300	137.29633300	11.99000000	1.30000000
13274.39998843	-0.60213859	837.01935000	5525.84639887	2006.00000000	5.00000000	6.00000000	9.00000000	35.00000000	59.00000000	37.60900000	137.28166700	11.76000000	0.80000000
13275.72089120	2.84488668	-702.21429800	-3309.19895933	2006.00000000	5.00000000	7.00000000	17.00000000	18.00000000	5.00000000	37.23533300	137.12616700	15.92000000	1.40000000
13276.06398148	0.89011792	487.93542900	-8855.56776206	2006.00000000	5.00000000	8.00000000	1.00000000	32.00000000	8.00000000	37.70966700	137.38716700	14.94000000	2.00000000
13276.84582176	-2.14675498	-326.39798900	8426.82071828	2006.00000000	5.00000000	8.00000000	20.00000000	17.00000000	59.00000000	37.85566700	137.22683300	11.32000000	1.40000000
13277.59899306	0.65449847	1004.71556000	-7078.41192165	2006.00000000	5.00000000	9.00000000	14.00000000	22.00000000	33.00000000	37.52900000	137.19550000	6.79000000	0.60000000
13279.56457176	-0.52359878	644.57995900	5446.67352127	2006.00000000	5.00000000	11.00000000	13.00000000	32.00000000	59.00000000	37.37800000	136.68650000	11.90000000	0.40000000
13280.38078704	-2.99323967	-1192.29311000	1688.28479966	2006.00000000	5.00000000	12.00000000	9.00000000	8.00000000	20.00000000	37.51983300	137.18666700	2.52000000	1.10000000
13280.49997685	-1.64060950	-370.23612800	9764.32176227	2006.00000000	5.00000000	12.00000000	11.00000000	59.00000000	58.00000000	37.52333300	137.20600000	10.27000000	1.10000000
13281.62791667	-0.60213859	129.73329800	3744.34871924	2006.00000000	5.00000000	13.00000000	15.00000000	4.00000000	12.00000000	37.70666700	137.39233300	13.66000000	1.70000000
13283.88464120	0.34033920	105.95510300	-297.80279994	2006.00000000	5.00000000	15.00000000	21.00000000	13.00000000	53.00000000	37.69566700	137.40116700	12.09000000	0.90000000
13285.28971065	-0.56723201	351.78166400	1815.99623963	2006.00000000	5.00000000	17.00000000	6.00000000	57.00000000	11.00000000	37.26716700	137.63983300	13.82000000	1.40000000
13286.50894676	1.27409035	130.02963300	-6190.71359874	2006.00000000	5.00000000	18.00000000	12.00000000	12.00000000	53.00000000	37.62600000	137.30400000	7.79000000	0.90000000
13286.78100694	-1.93731547	-316.89242900	5843.99544136	2006.00000000	5.00000000	18.00000000	18.00000000	44.00000000	39.00000000	37.04750000	136.23150000	8.52000000	0.80000000
13290.65313657	1.89368224	-57.50808350	-8216.32641791	2006.00000000	5.00000000	22.00000000	15.00000000	40.00000000	31.00000000	37.01800000	136.55066700	14.09000000	1.10000000
13292.20806713	2.43473431	-751.94468900	-6799.13568158	2006.00000000	5.00000000	24.00000000	4.00000000	59.00000000	37.00000000	37.27016700	137.52283300	9.99000000	1.40000000
13293.96859954	-0.96865773	471.40512600	5817.25800135	2006.00000000	5.00000000	25.00000000	23.00000000	14.00000000	47.00000000	37.04316700	136.23233300	13.16000000	1.70000000
13294.59219907	0.00000000	593.37697900	651.66864015	2006.00000000	5.00000000	26.00000000	14.00000000	12.00000000	46.00000000	37.22850000	137.02516700	15.24000000	0.20000000
13295.07611111	0.18325957	711.15159100	-1801.09176042	2006.00000000	5.00000000	27.00000000	1.00000000	49.00000000	36.00000000	37.69900000	137.36950000	15.01000000	1.60000000
13297.25364583	1.49225651	-21.85023190	-7489.44983847	2006.00000000	5.00000000	29.00000000	6.00000000	5.00000000	15.00000000	37.26600000	137.18400000	16.43000000	1.20000000
13297.95025463	-2.24274809	37.56755790	2564.00587260	2006.00000000	5.00000000	29.00000000	22.00000000	48.00000000	22.00000000	37.47716700	137.26600000	10.41000000	0.30000000
13299.15531250	-0.52359878	423.03000300	1620.52728038	2006.00000000	5.00000000	31.00000000	3.00000000	43.00000000	39.00000000	37.93100000	137.72133300	13.16000000	1.30000000
13299.89630787	0.88139127	107.45088200	-1145.25768027	2006.00000000	5.00000000	31.00000000	21.00000000	30.00000000	41.00000000	37.70883300	137.39166700	14.28000000	1.40000000
13306.06516204	0.92502450	496.37509400	-10057.62647795	2006.00000000	6.00000000	7.00000000	1.00000000	33.00000000	50.00000000	37.30716700	137.06333300	7.45000000	0.50000000
13307.88357639	-2.01585529	-8.49488972	7537.09214726	2006.00000000	6.00000000	8.00000000	21.00000000	12.00000000	21.00000000	36.97500000	137.74183300	2.59000000	1.50000000
13310.10015046	0.05235988	775.77037700	-645.64896015	2006.00000000	6.00000000	11.00000000	2.00000000	24.00000000	13.00000000	37.40200000	137.33866700	5.53000000	1.40000000
13310.71980324	0.74176493	199.36800000	-2212.29335955	2006.00000000	6.00000000	11.00000000	17.00000000	16.00000000	31.00000000	37.66833300	137.37750000	11.30000000	0.60000000
13310.90016204	-2.82743339	-147.39539400	1433.46767971	2006.00000000	6.00000000	11.00000000	21.00000000	36.00000000	14.00000000	37.07283300	136.20200000	8.89000000	1.20000000
13311.90682870	3.07177948	-86.78950010	-126.01761597	2006.00000000	6.00000000	12.00000000	21.00000000	45.00000000	50.00000000	37.28566700	137.17516700	16.53000000	-0.10000000
13312.06478009	-1.28281700	266.60420400	3501.70535929	2006.00000000	6.00000000	13.00000000	1.00000000	33.00000000	17.00000000	37.29483300	137.07733300	5.86000000	0.50000000
13313.25947917	0.21816616	376.53665700	-849.78551983	2006.00000000	6.00000000	14.00000000	6.00000000	13.00000000	39.00000000	37.66916700	136.85550000	13.26000000	1.40000000
13317.64887731	2.58308729	-318.71039900	-3365.05847931	2006.00000000	6.00000000	18.00000000	15.00000000	34.00000000	23.00000000	37.32566700	137.42983300	6.54000000	0.10000000
13321.25320602	3.09795942	-1116.95502000	-643.78559987	2006.00000000	6.00000000	22.00000000	6.00000000	4.00000000	37.00000000	37.47633300	137.45533300	10.39000000	0.80000000
13321.83829861	-2.25147474	-85.66383210	5040.65896697	2006.00000000	6.00000000	22.00000000	20.00000000	7.00000000	9.00000000	37.01550000	137.16600000	13.42000000	0.70000000
13322.34953704	-2.43473431	-973.52675400	7184.04264167	2006.00000000	6.00000000	23.00000000	8.00000000	23.00000000	20.00000000	37.70683300	137.37566700	12.88000000	1.40000000
13322.71637731	2.12057504	-17.02774920	-5080.84843318	2006.00000000	6.00000000	23.00000000	17.00000000	11.00000000	35.00000000	37.05316700	137.07483300	10.24000000	0.80000000
13323.63063657	0.50614548	468.89424700	-2914.02167941	2006.00000000	6.00000000	24.00000000	15.00000000	8.00000000	7.00000000	37.68716700	137.30250000	12.17000000	0.90000000
13324.45997685	-1.86750230	-578.23621600	8505.89232198	2006.00000000	6.00000000	25.00000000	11.00000000	2.00000000	22.00000000	37.65083300	137.37316700	12.28000000	0.90000000
13325.35238426	2.92342650	-1009.38044000	-2156.15039956	2006.00000000	6.00000000	26.00000000	8.00000000	27.00000000	26.00000000	37.55150000	137.23816700	4.53000000	1.10000000
13330.32476852	-0.23561945	622.70086200	1575.01992037	2006.00000000	7.00000000	1.00000000	7.00000000	47.00000000	40.00000000	37.61166700	137.34866700	13.91000000	1.20000000
13330.58905093	2.88851991	-266.92117200	-1486.01159970	2006.00000000	7.00000000	1.00000000	14.00000000	8.00000000	14.00000000	37.65416700	137.39133300	14.25000000	1.00000000
13332.31133102	-1.40499005	86.93986050	9237.55740215	2006.00000000	7.00000000	3.00000000	7.00000000	28.00000000	19.00000000	37.16500000	136.43416700	0.78000000	1.50000000
13337.66694444	0.94247780	315.62793000	-5112.49391896	2006.00000000	7.00000000	8.00000000	16.00000000	0.00000000	24.00000000	37.17283300	137.84083300	19.88000000	1.50000000
13338.77206019	2.13802833	-109.56496300	-4302.25296100	2006.00000000	7.00000000	9.00000000	18.00000000	31.00000000	46.00000000	37.25566700	137.18666700	15.45000000	0.40000000
13338.77937500	2.26892803	-145.63794000	-3936.03936092	2006.00000000	7.00000000	9.00000000	18.00000000	42.00000000	18.00000000	37.36350000	137.09883300	12.69000000	1.00000000
13341.99357639	-2.61799388	-159.28138700	1887.98351962	2006.00000000	7.00000000	12.00000000	23.00000000	50.00000000	45.00000000	37.66433300	137.39650000	12.58000000	1.10000000
13342.77386574	0.17453293	244.45782100	-654.80807987	2006.00000000	7.00000000	13.00000000	18.00000000	34.00000000	22.00000000	37.20983300	137.05266700	14.88000000	0.30000000
13343.04327546	-2.63544717	-175.49499500	1566.25751968	2006.00000000	7.00000000	14.00000000	1.00000000	2.00000000	19.00000000	37.67000000	137.45016700	12.71000000	1.10000000
13344.25826389	-0.78539816	265.65760400	2623.11455947	2006.00000000	7.00000000	15.00000000	6.00000000	11.00000000	54.00000000	37.88300000	137.67050000	14.35000000	1.50000000
13344.56480324	2.84488668	-212.81030000	-1005.68543980	2006.00000000	7.00000000	15.00000000	13.00000000	33.00000000	19.00000000	37.14533300	137.67966700	13.36000000	1.70000000
13347.05059028	1.81514242	-262.14613200	-6042.45023877	2006.00000000	7.00000000	18.00000000	1.00000000	12.00000000	51.00000000	37.66050000	137.40000000	11.00000000	1.40000000
